TASK	PID	Session	Visit	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
Run7	0336	1	5	0.093879	0.151126	0.379413	0.003545	0.001705	0.001485	0.339011	0.179983	0.057646	0.000000	0.000000	1.612903
Run7	0457	1	4	0.161687	0.124287	0.480094	0.004513	0.003202	0.002304	0.489175	0.153884	0.052361	0.000000	0.000000	1.612903
Run7	4017	1	4	0.072743	0.476994	1.676610	0.028597	0.003845	0.001642	1.131638	0.850535	0.095230	0.000000	0.000000	1.612903
Run7	4023	1	3	0.084720	0.082476	0.204958	0.006161	0.003552	0.001698	0.131646	0.104384	0.038329	0.000000	0.000000	1.612903
Run7	4058	1	2	0.340747	1.254980	2.590957	0.054098	0.022538	0.020525	1.592406	1.415491	0.264874	4.000000	0.000000	8.064516
Run7	4062	1	3	0.553307	1.133642	0.960688	0.031113	0.006889	0.007249	0.717001	0.613806	0.189353	0.000000	0.000000	1.612903
Run7	4074	1	2	0.137095	0.274570	0.256942	0.009069	0.002669	0.007379	0.210877	0.202550	0.043650	0.000000	0.000000	1.612903
Run7	4076	1	2	0.118199	0.284612	0.166136	0.011059	0.002520	0.004185	0.178659	0.151620	0.035913	0.000000	0.000000	1.612903
Run7	4079	1	3	0.127729	0.115743	0.378881	0.007028	0.002848	0.003930	0.230529	0.232480	0.071075	0.000000	0.000000	1.612903
Run7	6018	1	2	0.255734	0.102056	0.138415	0.004639	0.005795	0.001167	0.268984	0.090351	0.038867	0.000000	0.000000	1.612903
Run7	7014	1	4	0.043161	0.106208	0.358685	0.035196	0.002874	0.001720	0.244094	0.300323	0.048503	0.000000	0.000000	1.612903
Run7	7081	1	4	0.087515	0.247885	0.217995	0.006526	0.002926	0.005482	0.178418	0.218186	0.052783	0.000000	0.000000	1.612903
Run7	7112	1	2	0.431838	0.429452	2.490922	0.056494	0.018440	0.010065	1.666909	1.666909	0.264610	2.000000	0.000000	4.838710
Run7	7178	1	3	0.116530	0.283754	0.515688	0.011502	0.008218	0.005137	0.449086	0.212160	0.068434	0.000000	0.000000	1.612903
Run7	7185	1	5	0.148445	0.251858	0.517200	0.006731	0.004566	0.003402	0.542275	0.150292	0.044865	0.000000	0.000000	1.612903
Run7	7211	1	4	0.148651	0.113745	0.656436	0.007160	0.003087	0.001920	0.427754	0.472803	0.069431	0.000000	0.000000	1.612903
Run7	7253	1	2	0.121531	0.159446	0.676226	0.003772	0.003091	0.002000	0.352162	0.394509	0.081782	0.000000	0.000000	1.612903
Run7	7266	1	2	0.556893	0.523080	4.390928	0.123909	0.028393	0.020630	2.418366	3.004896	0.334067	3.000000	0.000000	6.451613
Run7	7281	1	4	0.998834	1.159647	2.999831	0.110413	0.021120	0.020537	2.255680	2.989478	0.260248	5.000000	0.000000	9.677419
Run7	7307	1	3	0.165504	0.327534	0.371876	0.015631	0.007519	0.002864	0.217758	0.231767	0.088914	0.000000	0.000000	1.612903
Run7	7309	1	2	0.470717	0.452676	5.108124	0.030313	0.014778	0.006919	4.230667	3.115350	0.233304	3.000000	0.000000	6.451613
