TASK	PID	Session	Visit	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
Run8	0336	1	5	0.108900	0.154198	0.304907	0.007105	0.004360	0.004099	0.332923	0.209200	0.044550	0.000000	0.000000	1.612903
Run8	0457	1	4	0.109105	0.148663	0.467746	0.005962	0.003107	0.008930	0.377841	0.298238	0.051109	0.000000	0.000000	1.612903
Run8	4017	1	4	0.049099	0.093063	0.395471	0.003492	0.001344	0.001115	0.292685	0.275463	0.041492	0.000000	0.000000	1.612903
Run8	4023	1	3	0.050879	0.096552	0.254294	0.004542	0.002145	0.001611	0.197011	0.121379	0.037429	0.000000	0.000000	1.612903
Run8	4062	1	3	0.865570	1.482055	1.768851	0.040333	0.012917	0.009942	1.704904	1.104055	0.260851	1.000000	0.000000	3.225806
Run8	4074	1	2	0.169214	0.404302	0.261922	0.007377	0.002549	0.001971	0.411610	0.212837	0.043627	0.000000	0.000000	1.612903
Run8	4076	1	2	0.278328	0.541281	0.511313	0.020223	0.004736	0.006355	0.580065	0.497435	0.052853	0.000000	0.000000	1.612903
Run8	4079	1	3	0.123839	0.126092	0.358626	0.008381	0.003402	0.004235	0.281923	0.249960	0.054090	0.000000	0.000000	1.612903
Run8	6018	1	2	0.186021	0.126346	0.237764	0.003589	0.003334	0.002790	0.228179	0.192826	0.038014	0.000000	0.000000	1.612903
Run8	7014	1	4	0.230273	0.099683	2.163196	0.070243	0.005856	0.003310	2.174950	1.084795	0.064857	1.000000	0.000000	3.225806
Run8	7081	1	4	0.154057	0.339382	0.441141	0.009427	0.004387	0.003738	0.500246	0.221592	0.054242	0.000000	0.000000	1.612903
Run8	7112	1	2	0.207658	0.590970	3.209183	0.054766	0.017258	0.010746	2.196780	2.325102	0.316346	3.000000	0.000000	6.451613
Run8	7176	1	2	0.275449	0.880369	1.539836	0.041501	0.017058	0.009459	1.492859	1.488936	0.200515	2.000000	0.000000	4.838710
Run8	7178	1	3	0.641771	1.019218	3.803210	0.070217	0.009836	0.010622	3.536081	1.962073	0.184006	3.000000	0.000000	6.451613
Run8	7185	1	5	0.131995	0.088892	0.195809	0.002621	0.001744	0.000861	0.120913	0.130004	0.036396	0.000000	0.000000	1.612903
Run8	7211	1	4	0.545812	0.859308	1.698316	0.058458	0.011871	0.009449	1.747694	1.593152	0.309550	3.000000	0.000000	6.451613
Run8	7253	1	2	0.115596	0.153441	0.469015	0.002790	0.001501	0.001006	0.393504	0.230475	0.077177	0.000000	0.000000	1.612903
Run8	7307	1	3	0.853152	0.586741	0.712754	0.020055	0.015514	0.004655	1.136828	0.225100	0.106194	0.000000	0.000000	1.612903
Run8	7330	1	1	0.252807	0.086001	0.361815	0.017070	0.003865	0.005181	0.277520	0.246343	0.061227	0.000000	0.000000	1.612903
Run8	7331	1	2	0.213275	0.262859	0.866876	0.020287	0.012961	0.005615	0.703407	0.791296	0.090077	0.000000	0.000000	1.612903
Run8	7341	1	1	0.837234	1.685579	0.684087	0.040452	0.020088	0.022548	1.042603	0.468020	0.179583	0.000000	0.000000	1.612903
Run8	7357	1	1	1.386259	3.346121	2.064597	0.070168	0.024677	0.003620	2.300101	2.180557	0.232313	6.000000	0.000000	11.290323
Run8	7371	1	2	0.294172	0.425730	2.663984	0.113624	0.011929	0.010730	1.560814	1.518414	0.123964	1.000000	0.000000	3.225806
Run8	7375	1	1	0.096732	0.168120	0.491700	0.004292	0.002307	0.002746	0.474581	0.331126	0.070189	0.000000	0.000000	1.612903
Run8	7395	1	1	0.825974	0.431116	4.184856	0.080976	0.030624	0.010461	2.870846	2.542958	0.315982	5.000000	0.000000	9.677419
Run8	7413	1	1	0.111488	0.221297	0.342795	0.004658	0.002091	0.002897	0.317948	0.134136	0.056131	0.000000	0.000000	1.612903
Run8	7429	1	1	0.185386	0.384381	1.087143	0.019533	0.007677	0.010797	0.627139	0.706159	0.135356	0.000000	0.000000	1.612903
Run8	7437	1	2	0.071486	0.085719	0.209947	0.002567	0.001220	0.002119	0.147731	0.119299	0.035492	0.000000	0.000000	1.612903
Run8	7438	1	2	0.226863	1.035750	1.604209	0.026989	0.004311	0.005786	1.413306	1.606140	0.149915	1.000000	0.000000	3.225806
Run8	7442	1	1	0.381376	1.443179	1.126354	0.047244	0.007356	0.008079	1.393962	0.607621	0.135101	0.000000	0.000000	1.612903
Run8	7446	1	1	0.501848	0.545735	1.163498	0.025188	0.014524	0.022184	0.802791	0.904617	0.187318	0.000000	0.000000	1.612903
Run8	7464	1	1	0.106346	0.264058	0.962047	0.016445	0.002687	0.002250	0.997228	0.798488	0.089663	0.000000	0.000000	1.612903
Run8	7466	1	1	0.415548	0.578100	3.010073	0.027936	0.017376	0.008369	2.982514	2.893160	0.155736	2.000000	0.000000	4.838710
Run8	7477	1	1	0.389459	0.344035	2.186614	0.026273	0.013872	0.005229	1.512923	1.512923	0.225397	1.000000	0.000000	3.225806
Run8	7489	1	3	0.163034	0.182184	1.139050	0.006737	0.003447	0.003139	1.140029	0.532790	0.063121	0.000000	0.000000	1.612903
Run8	7491	1	1	0.185657	0.218719	0.492278	0.010173	0.004528	0.002638	0.286171	0.266518	0.050624	0.000000	0.000000	1.612903
Run8	7507	1	1	0.387801	0.385653	2.829122	0.052637	0.031291	0.009626	1.990183	1.908998	0.266137	3.000000	0.000000	6.451613
Run8	7521	1	1	0.161089	0.460396	0.628615	0.018596	0.009641	0.008734	0.513382	0.240929	0.083270	0.000000	0.000000	1.612903
Run8	7526	1	1	0.237821	0.542571	0.883293	0.058640	0.009834	0.009116	0.617024	0.554964	0.120058	0.000000	0.000000	1.612903
Run8	7527	1	1	1.555688	1.306000	4.227590	0.039991	0.053621	0.069690	3.070066	3.389029	0.447691	5.000000	0.000000	9.677419
Run8	7540	1	1	0.098417	0.265695	0.511158	0.006943	0.002353	0.008140	0.466972	0.188341	0.055214	0.000000	0.000000	1.612903
Run8	7543	1	1	0.232424	0.146806	0.287934	0.009557	0.008397	0.003778	0.340749	0.100394	0.035759	0.000000	0.000000	1.612903
Run8	7544	1	1	0.657102	0.290842	2.276348	0.071532	0.015936	0.007702	1.569987	2.137809	0.272794	3.000000	0.000000	6.451613
Run8	7552	1	1	0.182887	0.428182	0.611954	0.014530	0.005072	0.002737	0.420213	0.423851	0.102109	0.000000	0.000000	1.612903
Run8	7571	1	1	0.133029	0.157797	0.520073	0.007675	0.004120	0.002554	0.521316	0.263010	0.073498	0.000000	0.000000	1.612903
Run8	7589	1	1	0.322448	0.126141	0.467140	0.003104	0.002821	0.001183	0.536877	0.373478	0.099597	0.000000	0.000000	1.612903
Run8	7598	1	1	0.062989	0.161177	0.474977	0.009474	0.003370	0.004211	0.487184	0.229417	0.051312	0.000000	0.000000	1.612903
Run8	7620	1	1	0.168972	0.149450	0.416718	0.007271	0.003840	0.002460	0.314729	0.288792	0.053523	0.000000	0.000000	1.612903
Run8	7623	1	1	0.112424	0.362024	0.647298	0.010244	0.003785	0.001580	0.668510	0.336292	0.051490	0.000000	0.000000	1.612903
Run8	7634	1	1	0.150233	0.097709	0.687428	0.002851	0.002434	0.002573	0.587888	0.420754	0.054509	0.000000	0.000000	1.612903
Run8	7654	1	1	0.257891	0.164511	2.312413	0.013054	0.015197	0.009163	1.700136	2.007724	0.192654	3.000000	0.000000	6.451613
Run8	7666	1	1	0.055473	0.276305	0.283766	0.007023	0.001705	0.002044	0.179756	0.279389	0.060820	0.000000	0.000000	1.612903
Run8	7669	1	1	0.047222	0.081041	0.148478	0.003698	0.001105	0.000850	0.121655	0.066242	0.025196	0.000000	0.000000	1.612903
Run8	7676	1	1	0.749235	2.627360	1.890257	0.066617	0.019637	0.028603	1.957894	2.330497	0.350960	6.000000	0.000000	11.290323
Run8	7679	1	1	0.397113	0.791728	1.712041	0.032203	0.005756	0.005539	1.404803	1.029448	0.103484	0.000000	0.000000	1.612903
Run8	7685	1	1	0.056271	0.208640	0.427773	0.014503	0.002865	0.004851	0.449282	0.323526	0.045437	0.000000	0.000000	1.612903
Run8	7686	1	1	0.051692	0.141376	0.386388	0.006921	0.000856	0.002395	0.323282	0.157524	0.045491	0.000000	0.000000	1.612903
Run8	7687	1	1	0.190722	0.518493	1.076431	0.019020	0.010367	0.005279	1.140318	1.176844	0.091743	1.000000	0.000000	3.225806
Run8	7689	1	1	0.075163	0.155475	0.273130	0.005897	0.001547	0.001405	0.268770	0.120421	0.030701	0.000000	0.000000	1.612903
