TASK	PID	Session	Visit	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
Run6	0336	1	5	0.066426	0.136624	0.150379	0.002627	0.001437	0.002232	0.116413	0.117190	0.039589	0.000000	0.000000	1.612903
Run6	0457	1	4	0.144412	0.166212	0.497047	0.004491	0.002341	0.002478	0.426973	0.201515	0.057788	0.000000	0.000000	1.612903
Run6	4017	1	4	0.066731	0.047756	0.150749	0.007607	0.002489	0.001000	0.107813	0.065211	0.025009	0.000000	0.000000	1.612903
Run6	4023	1	3	0.067688	0.074610	0.176326	0.003385	0.001075	0.001820	0.148018	0.102985	0.034530	0.000000	0.000000	1.612903
Run6	4058	1	2	0.121556	0.514034	0.632750	0.018720	0.005008	0.003373	0.490666	0.400681	0.117356	0.000000	0.000000	1.612903
Run6	4062	1	3	0.226525	0.492050	0.954343	0.015350	0.005440	0.004414	0.778446	0.402479	0.145902	0.000000	0.000000	1.612903
Run6	4074	1	2	0.078041	0.190018	0.184955	0.003554	0.001754	0.001519	0.168137	0.113476	0.044758	0.000000	0.000000	1.612903
Run6	4076	1	2	0.534145	0.369247	1.424582	0.014013	0.006995	0.007391	1.344442	0.855576	0.081501	0.000000	0.000000	1.612903
Run6	4079	1	3	0.519199	0.097931	0.426352	0.008118	0.010707	0.004478	0.625508	0.138445	0.053454	0.000000	0.000000	1.612903
Run6	6018	1	2	0.427275	0.074115	0.145851	0.008295	0.013377	0.002167	0.418183	0.109120	0.038941	0.000000	0.000000	1.612903
Run6	7014	1	4	0.069521	0.047777	0.329816	0.004840	0.002209	0.001130	0.330929	0.178909	0.043842	0.000000	0.000000	1.612903
Run6	7081	1	4	0.170276	0.401883	0.880765	0.011540	0.007998	0.010495	0.883127	0.320471	0.081230	0.000000	0.000000	1.612903
Run6	7112	1	2	0.225066	0.434423	1.514190	0.041698	0.011841	0.010473	1.022182	0.901214	0.214171	0.000000	0.000000	1.612903
Run6	7178	1	3	0.677483	0.402470	0.778040	0.015790	0.005036	0.007013	0.994663	0.492148	0.071861	0.000000	0.000000	1.612903
Run6	7185	1	5	0.329120	0.299725	0.559576	0.010994	0.007198	0.002930	0.533087	0.286094	0.067641	0.000000	0.000000	1.612903
Run6	7211	1	4	0.339600	0.115564	1.431524	0.006272	0.006091	0.006429	1.410308	0.708146	0.107267	0.000000	0.000000	1.612903
Run6	7253	1	2	0.109143	0.245722	0.551934	0.006109	0.002286	0.002309	0.425979	0.335695	0.096819	0.000000	0.000000	1.612903
Run6	7266	1	2	0.618256	0.746492	3.049589	0.090226	0.024150	0.019553	2.049070	1.914046	0.292666	3.000000	0.000000	6.451613
Run6	7307	1	3	0.288263	0.183335	0.700640	0.009996	0.008828	0.002676	0.440820	0.295996	0.102670	0.000000	0.000000	1.612903
Run6	7309	1	2	1.117052	0.691422	4.195860	0.050933	0.015707	0.012704	3.662717	4.148642	0.211563	2.000000	0.000000	4.838710
Run6	7331	1	2	0.839528	0.289627	3.051255	0.049822	0.084703	0.033582	2.013032	2.259562	0.238537	3.000000	0.000000	6.451613
Run6	7341	1	1	0.747846	1.965753	1.294100	0.038335	0.016608	0.020613	1.449274	1.596663	0.211405	1.000000	0.000000	3.225806
Run6	7357	1	1	0.376437	0.188801	0.728451	0.013381	0.007327	0.001832	0.446584	0.592692	0.064494	0.000000	0.000000	1.612903
Run6	7371	1	2	0.094375	0.185632	0.823901	0.024206	0.007019	0.008606	0.778785	0.224226	0.072108	0.000000	0.000000	1.612903
Run6	7372	1	3	0.123496	0.153658	0.456425	0.007761	0.004929	0.004159	0.359926	0.234321	0.049451	0.000000	0.000000	1.612903
Run6	7375	1	1	0.099023	0.105648	0.483844	0.003617	0.003424	0.003681	0.490345	0.302931	0.061923	0.000000	0.000000	1.612903
Run6	7384	1	1	0.285060	0.204964	1.153563	0.022317	0.009977	0.009644	1.144755	1.083790	0.161926	1.000000	0.000000	3.225806
Run6	7413	1	1	0.186172	0.227638	0.310706	0.008184	0.003255	0.002422	0.343486	0.152435	0.049356	0.000000	0.000000	1.612903
Run6	7429	1	1	0.279328	0.417117	2.200756	0.026288	0.009127	0.010398	1.759560	1.345218	0.187322	2.000000	0.000000	4.838710
Run6	7437	1	2	0.067575	0.159496	0.398290	0.007965	0.003161	0.002419	0.402578	0.251760	0.043742	0.000000	0.000000	1.612903
Run6	7438	1	2	0.227707	1.165139	0.923734	0.029282	0.003982	0.002171	1.474227	0.214107	0.077209	0.000000	0.000000	1.612903
Run6	7442	1	1	0.231912	1.115314	1.961876	0.029566	0.003657	0.007619	1.489542	1.404145	0.135514	1.000000	0.000000	3.225806
Run6	7446	1	1	0.558339	1.183460	3.003712	0.068303	0.020105	0.018966	3.095995	1.144390	0.270445	1.000000	0.000000	3.225806
Run6	7464	1	1	0.061978	0.123204	0.220603	0.009050	0.002952	0.001353	0.203027	0.119658	0.027814	0.000000	0.000000	1.612903
